,SummonerName,WinLoss,Champion,Q casts,W casts,E casts,R casts,ChampLevel,CS,Kills,Deaths,Assists,Exp,Damage,Shielding,Healing,Total Damage Taken,Wards Placed,Wards Killed,Vision Score,Penta Kills,Game Time seconds,Crowd Control,Time spent dead,Kill participation,Team damage percentage,Skillshots hit,Skillshots dodged,Solo kills,Turret plates taken,BOTTOM,JUNGLE,MIDDLE,TOP,UTILITY
1108,Masivepoo,1,Jinx,83,22,14,7,13,159,3,3,12,10819,11141,0,2432,12380,9,4,23,0,1476,34,52,0.75,0.14548171514205988,28,130,0,1,1,0,0,0,0
1109,zarpao,1,Pyke,45,46,38,8,12,46,4,3,11,9573,9210,0,4767,13459,17,14,55,0,1476,108,49,0.75,0.12027121382447158,59,180,1,0,0,0,0,0,1
1110,LilMormon,1,Nasus,207,35,52,16,17,126,9,8,14,17109,28787,0,7269,51155,6,4,16,0,2251,853,380,0.0,0.0,0,0,0,0,0,0,0,1,0
1111,Stabbable,1,Shaco,79,119,100,24,18,35,24,2,19,21100,53137,0,7833,32790,13,3,31,0,2251,823,43,0.0,0.0,0,0,0,0,0,1,0,0,0
1112,Etyman,1,Yuumi,43,229,114,13,16,6,8,8,33,16258,12708,12606,36737,18893,21,1,42,0,2251,73,275,0.0,0.0,0,0,0,0,0,0,0,0,1
1113,Sylvié,1,Zeri,692,64,66,15,16,189,19,15,18,16156,59513,0,3234,57000,10,8,25,0,2251,170,559,0.0,0.0,0,0,0,0,1,0,0,0,0
1114,Phil,1,Orianna,129,95,72,13,17,164,6,10,21,18186,22427,3713,1455,25927,16,5,41,0,2251,323,320,0.0,0.0,0,0,0,0,0,0,1,0,0
1115,Bucukaqi,0,Vayne,123,0,15,14,16,164,9,16,9,16275,37418,0,3656,42935,8,4,44,0,2251,57,570,0.0,0.0,0,0,0,0,0,0,0,1,0
1116,Frommoh,0,Poppy,155,36,71,14,16,37,15,11,16,16256,32977,0,13454,56156,5,5,31,0,2251,824,413,0.0,0.0,0,0,0,0,0,1,0,0,0
1117,Ausfreak,0,Ahri,99,105,42,41,17,167,7,11,17,16819,28949,0,5051,36239,7,3,19,0,2251,63,464,0.0,0.0,0,0,0,0,0,0,1,0,0
1118,MVPete,0,MissFortune,108,39,66,13,17,181,9,12,14,16769,28230,0,5663,37194,16,1,31,0,2251,325,400,0.0,0.0,0,0,0,0,1,0,0,0,0
1119,Vickers,0,Lux,55,37,160,18,15,68,3,16,21,13968,22459,2958,2944,32356,27,3,47,0,2251,278,528,0.0,0.0,0,0,0,0,0,0,0,0,1
1120,SLIPP3RY S3AL,1,Garen,78,31,80,5,18,208,11,2,2,18720,19916,0,2947,21706,11,1,26,0,1682,191,48,0.0,0.0,0,0,0,0,0,0,0,1,0
1121,Galayvia,1,FiddleSticks,27,95,52,7,14,35,5,2,8,12503,12700,0,10647,17213,1,6,37,0,1682,581,50,0.0,0.0,0,0,0,0,0,1,0,0,0
1122,ddddddfddd,1,Yasuo,297,17,223,8,17,205,13,4,5,18247,27685,0,1758,23293,9,1,15,0,1682,241,100,0.0,0.0,0,0,0,0,0,0,1,0,0
1123,Vickers,1,Caitlyn,52,41,16,4,12,141,5,5,6,9776,13831,0,2509,11748,12,5,28,0,1682,42,134,0.0,0.0,0,0,0,0,1,0,0,0,0
1124,Ausfreak,1,Leona,37,27,22,6,13,31,2,2,11,10452,4483,0,1677,12447,14,4,39,0,1682,130,43,0.0,0.0,0,0,0,0,0,0,0,0,1
1125,Wíllem Dafoe,0,Yorick,151,21,59,9,14,168,2,8,1,11944,19964,0,7080,32230,8,1,14,0,1682,169,249,0.0,0.0,0,0,0,0,0,0,0,1,0
1126,shiruba,0,Diana,78,37,35,5,13,44,2,5,3,10320,7180,0,6073,17916,12,1,26,0,1682,76,144,0.0,0.0,0,0,0,0,0,1,0,0,0
